Sample ID,Log ID,Timestamp (ms),Burst Idx,Suhu (°C),R Liquid (Ohm),EC Raw (mS/cm),EC25 (mS/cm),Submerged
S_DINGIN,31,4431193,1,"8,03","452,1","2,345","3,55",1
S_DINGIN,32,4432434,2,"8,03","451,9","2,347","3,554",1
S_DINGIN,33,4433749,3,"8,03","451,9","2,347","3,554",1
S_DINGIN,34,4435023,4,"8,03","451,8","2,349","3,556",1
S_DINGIN,35,4436223,5,"8,06","451,8","2,349","3,552",1
S_RUANG,36,4649174,1,"28,73",291,"4,93","4,588",1
S_RUANG,37,4650377,2,"28,66","291,3","4,921","4,585",1
S_RUANG,38,4651579,3,"28,73",291,"4,93","4,588",1
S_RUANG,39,4652784,4,"28,69","290,9","4,932","4,592",1
S_RUANG,40,4653988,5,"28,69","290,7","4,937","4,597",1
S_HANGAT,41,4774529,1,"31,92","287,9","5,008","4,399",1
S_HANGAT,42,4775736,2,"31,95","287,4","5,019","4,407",1
S_HANGAT,43,4776944,3,"31,95",287,"5,029","4,415",1
S_HANGAT,44,4778152,4,"31,92","287,5","5,017","4,408",1
S_HANGAT,45,4779362,5,"31,95","287,1","5,026","4,413",1
S_DINGIN,46,5706528,1,"8,29",500,"1,899","2,851",1
S_DINGIN,47,5707779,2,"8,26",501,"1,89","2,841",1
S_DINGIN,48,5708991,3,"8,29","500,9","1,89","2,839",1
S_DINGIN,49,5710273,4,"8,26","500,6","1,893","2,846",1
S_DINGIN,50,5711514,5,"8,23","500,6","1,893","2,849",1
S_RUANG,51,5786088,1,"29,67","322,2","4,227","3,866",1
S_RUANG,52,5787292,2,"29,67",322,"4,23","3,869",1
S_RUANG,53,5788498,3,"29,67","321,7","4,238","3,876",1
S_RUANG,54,5789704,4,"29,67","321,6","4,239","3,877",1
S_RUANG,55,5790912,5,"29,7","321,8","4,236","3,872",1
S_HANGAT,56,5913536,1,"33,03","296,2","4,802","4,138",1
S_HANGAT,57,5914745,2,"33,03","295,8","4,811","4,146",1
S_HANGAT,58,5915996,3,"33,03",296,"4,808","4,143",1
S_HANGAT,59,5917207,4,"33,03","295,7","4,813","4,147",1
S_HANGAT,60,5918418,5,"33,03","295,4","4,822","4,155",1
S_DINGIN,61,6616552,1,"7,26","492,4","1,963","3,043",1
S_DINGIN,62,6617768,2,"7,26","492,8","1,96","3,037",1
S_DINGIN,63,6618985,3,"7,26","492,9","1,959","3,037",1
S_DINGIN,64,6620202,4,"7,26","492,8","1,96","3,038",1
S_DINGIN,65,6621490,5,"7,26","492,4","1,963","3,043",1
S_RUANG,66,6701319,1,"29,97","316,5","4,344","3,951",1
S_RUANG,67,6702526,2,30,"316,3","4,348","3,953",1
S_RUANG,68,6703734,3,"30,04","316,2","4,351","3,953",1
S_RUANG,69,6704943,4,"30,04","316,2","4,351","3,952",1
S_RUANG,70,6706185,5,"30,04","316,1","4,354","3,955",1
S_HANGAT,76,6831024,1,"33,46","293,9","4,857","4,154",1
S_HANGAT,77,6832283,2,"33,46",294,"4,855","4,152",1
S_HANGAT,78,6833534,3,"33,5","293,3","4,872","4,164",1
S_HANGAT,79,6834791,4,"33,5","293,4","4,869","4,162",1
S_HANGAT,80,6836045,5,"33,46","292,9","4,882","4,175",1
S_DINGIN,81,7555219,1,"7,59","486,3","2,017","3,095",1
S_DINGIN,82,7556508,2,"7,56","486,2","2,018","3,099",1
S_DINGIN,83,7557762,3,"7,53","485,9","2,02","3,106",1
S_DINGIN,84,7559008,4,"7,49","486,5","2,015","3,101",1
S_DINGIN,85,7560258,5,"7,49","486,1","2,019","3,107",1
S_RUANG,86,7675189,1,"30,74","311,7","4,447","3,989",1
S_RUANG,87,7676476,2,"30,78","311,4","4,455","3,994",1
S_RUANG,88,7677704,3,"30,74","311,3","4,457","3,998",1
S_RUANG,89,7678939,4,"30,74","311,4","4,453","3,994",1
S_RUANG,90,7680169,5,"30,74","311,3","4,456","3,997",1
S_HANGAT,91,7821903,1,"33,53","310,9","4,465","3,814",1
S_HANGAT,92,7823135,2,"33,53","310,6","4,47","3,819",1
S_HANGAT,93,7824365,3,"33,56","310,4","4,477","3,822",1
S_HANGAT,94,7825565,4,"33,56","310,6","4,471","3,817",1
S_HANGAT,95,7826767,5,"33,53","310,2","4,48","3,827",1
S_DINGIN,96,8934952,1,"7,13","489,1","1,993","3,101",1
S_DINGIN,97,8936264,2,"7,03","489,6","1,988","3,103",1
S_DINGIN,98,8937524,3,"6,93","488,3","1,999","3,131",1
S_DINGIN,99,8938753,4,"6,89","488,8","1,995","3,128",1
S_DINGIN,100,8939982,5,"6,86","487,6","2,006","3,148",1
S_RUANG,101,9023071,1,"31,14","296,5","4,794","4,27",1
S_RUANG,102,9024300,2,"31,11","296,8","4,787","4,265",1
S_RUANG,103,9025532,3,"31,11","296,8","4,787","4,266",1
S_RUANG,104,9026759,4,"31,11","296,5","4,795","4,273",1
S_RUANG,105,9027998,5,"31,14","296,7","4,791","4,266",1
S_HANGAT,106,9155403,1,"34,94","279,3","5,234","4,366",1
S_HANGAT,107,9156634,2,"34,91","279,2","5,234","4,369",1
S_HANGAT,108,9157876,3,"34,94","279,4","5,231","4,364",1
S_HANGAT,109,9159113,4,"34,94","279,7","5,222","4,356",1
S_HANGAT,110,9160358,5,"34,97","279,1","5,238","4,367",1
S_DINGIN,111,9842475,1,"6,09","478,7","2,086","3,354",1
S_DINGIN,112,9843710,2,"6,06","478,7","2,086","3,359",1
S_DINGIN,113,9845015,3,"6,09","478,5","2,088","3,358",1
